code,description
SC5,Mutatie analyse ATXN7 (SCA7) gen
SC9,Mutatie analyse PDYN gen
SCA36,Mutatie analyse NOP56 (SCA36) gen
SH1,Mutatie analyse SHOX1 gen
SMA01,MLPA analyse SMN1 en SMN2
SMA02,MLPA analyse SMN1 en SMN2 PCS
SMS1,Mutatie analyse RAI1 gen
SMS2,MLPA analyse RAI1 17p112 HDAC4 2q37
SNP,SNP array diagnostiek
SNP10,Dragerschap prenataal
SNP11,Dragerschap UPD
SNP12,CNV + LOH detectie CLL
SNP13,CNV + LOH detectie Kahler
SNP14,Translocatie(s)
SNP15,Specifieke vraagstelling array
SNP16,Aanvullende analyse
SNP17,"Prenataal overig "
SNP18,CNV + LOH detectie MDS
SNP2,"CNV detectie "
SNP3,LOH detectie
SNP4,"CNV + LOH detectie "
SNP5,"CNV detectie prenataal "
SNP7,CNV + LOH detectie prenataal
SNP8,UPD detectie
SNP9,Dragerschap CNV
ST3,Mutatie analyse COL2A1 gen
ST4,MLPA analyse COL2A1
ST5,sequentie analyse COL11A1
SVP01,Analyse targeted SVP; KRT5
SVP04,
SVP05,Analyse targeted SVP; AGL
SVP06,Analyse targeted SVP; G6PC
SVP08,Analyse targeted SVP; ED1
SVP14,Analyse targeted SVP; RET
SVP18,
SVP21,Analyse targeted SVP; ASCL1
SVP22,Analyse targeted SVP; L1CAM
SVP26,Analyse targeted SVP; SHOX
SVP27,Analyse targeted SVP; IGHMBP2
SVP28,
SVP29,Analyse targeted SVP; COL2A1
SVP30,Analyse targeted SVP; meerdere losse genen
SVP31,Analyse targeted PCS; CFTR
V01,Cosegregatie-onderzoek VUS
WGS1,whole genome sequencing 5GPM
c29,hoge resolutie array
sh2,MLPA analyse SHOX
